exp_id,article_id,time,page_id,user,sentence_id,word,need_prediction,word_understand,sentence_understand,mind_wandering,reading_times,number_of_fixations,fixation_duration
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,3,3
1934,5,0,2863,1,0,,0,0,0,0,0,2,2
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,2,2
1934,5,0,2863,1,0,,0,0,0,0,0,3,3
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,2,2
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,3,3
1934,5,0,2863,1,0,,0,0,0,0,0,4,4
1934,5,0,2863,1,0,,0,0,0,0,0,3,3
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,2,2
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,2,2
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,3,3
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,2,2
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,1,1
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
1934,5,0,2863,1,0,,0,0,0,0,0,0,0
